"store_number","name","latitude","longitude","full_address","address","city","state","zipcode","county","phone","hours","url","provider","updated_date","country","status","directions","stock_ticker"
"81","Stilwell Supercenter","35.798588","-94.623206","84127 Highway 59, Stilwell, OK, 74960","84127 Highway 59","Stilwell","OK","74960","Adair","918-696-3141","sunday :- 07:00 - 23:00 | monday :- 07:00 - 23:00 | tuesday :- 07:00 - 23:00 | wednesday :- 07:00 - 23:00 | thursday :- 07:00 - 23:00 | friday :- 07:00 - 23:00 | saturday :- 07:00 - 23:00","http://www.walmart.com/store/81","Walmart","2021-03-15","USA","Open","https://www.google.com/maps/dir/Current+Location/84127+Highway+59,+Stilwell,+OK,+74960,+USA/","WMT:NYSE"
"6177","Westminster Neighborhood Market","39.826783","-105.02339","7170 Federal Blvd, Westminster, CO, 80030","7170 Federal Blvd","Westminster","CO","80030","Adams","303-200-1043","sunday :- 07:00 - 23:00 | monday :- 07:00 - 23:00 | tuesday :- 07:00 - 23:00 | wednesday :- 07:00 - 23:00 | thursday :- 07:00 - 23:00 | friday :- 07:00 - 23:00 | saturday :- 07:00 - 23:00","http://www.walmart.com/store/6177","Walmart","2021-03-15","USA","Open","https://www.google.com/maps/dir/Current+Location/7170+Federal+Blvd,+Westminster,+CO,+80030,+USA/","WMT:NYSE"
"2223","Westminster Supercenter","39.86797","-105.056732","9499 Sheridan Blvd, Westminster, CO, 80031","9499 Sheridan Blvd","Westminster","CO","80031","Adams","303-427-4882","sunday :- 07:00 - 23:00 | monday :- 07:00 - 23:00 | tuesday :- 07:00 - 23:00 | wednesday :- 07:00 - 23:00 | thursday :- 07:00 - 23:00 | friday :- 07:00 - 23:00 | saturday :- 07:00 - 23:00","http://www.walmart.com/store/2223","Walmart","2021-03-15","USA","Open","https://www.google.com/maps/dir/Current+Location/9499+Sheridan+Blvd,+Westminster,+CO,+80031,+USA/","WMT:NYSE"
"1231","Thornton Supercenter","39.876148","-104.986182","9901 Grant St, Denver, CO, 80229","9901 Grant St","Denver","CO","80229","Adams","303-451-1003","sunday :- 07:00 - 23:00 | monday :- 07:00 - 23:00 | tuesday :- 07:00 - 23:00 | wednesday :- 07:00 - 23:00 | thursday :- 07:00 - 23:00 | friday :- 07:00 - 23:00 | saturday :- 07:00 - 23:00","http://www.walmart.com/store/1231","Walmart","2021-03-15","USA","Open","https://www.google.com/maps/dir/Current+Location/9901+Grant+St,+Denver,+CO,+80229,+USA/","WMT:NYSE"
"4567","Brighton Supercenter","39.931149","-104.905963","7101 E 128th Ave, Brighton, CO, 80602","7101 E 128th Ave","Brighton","CO","80602","Adams","303-209-4339","sunday :- 07:00 - 23:00 | monday :- 07:00 - 23:00 | tuesday :- 07:00 - 23:00 | wednesday :- 07:00 - 23:00 | thursday :- 07:00 - 23:00 | friday :- 07:00 - 23:00 | saturday :- 07:00 - 23:00","http://www.walmart.com/store/4567","Walmart","2021-03-15","USA","Open","https://www.google.com/maps/dir/Current+Location/7101+E+128th+Ave,+Brighton,+CO,+80602,+USA/","WMT:NYSE"
"3867","Westminster Supercenter","39.940379","-104.990612","200 W 136th Ave, Denver, CO, 80234","200 W 136th Ave","Denver","CO","80234","Adams","720-929-1758","sunday :- 07:00 - 23:00 | monday :- 07:00 - 23:00 | tuesday :- 07:00 - 23:00 | wednesday :- 07:00 - 23:00 | thursday :- 07:00 - 23:00 | friday :- 07:00 - 23:00 | saturday :- 07:00 - 23:00","http://www.walmart.com/store/3867","Walmart","2021-03-15","USA","Open","https://www.google.com/maps/dir/Current+Location/200+W+136th+Ave,+Denver,+CO,+80234,+USA/","WMT:NYSE"
"3019","Thornton Neighborhood Market","39.854942","-104.975091","850 E 88th Ave, Denver, CO, 80229","850 E 88th Ave","Denver","CO","80229","Adams","303-287-4404","sunday :- 07:00 - 23:00 | monday :- 07:00 - 23:00 | tuesday :- 07:00 - 23:00 | wednesday :- 07:00 - 23:00 | thursday :- 07:00 - 23:00 | friday :- 07:00 - 23:00 | saturday :- 07:00 - 23:00","http://www.walmart.com/store/3019","Walmart","2021-03-15","USA","Open","https://www.google.com/maps/dir/Current+Location/850+E+88th+Ave,+Denver,+CO,+80229,+USA/","WMT:NYSE"
"2752","Commerce City Supercenter","39.804518","-104.928081","5990 Dahlia St, Commerce City, CO, 80022","5990 Dahlia St","Commerce City","CO","80022","Adams","303-287-0600","sunday :- 07:00 - 23:00 | monday :- 07:00 - 23:00 | tuesday :- 07:00 - 23:00 | wednesday :- 07:00 - 23:00 | thursday :- 07:00 - 23:00 | friday :- 07:00 - 23:00 | saturday :- 07:00 - 23:00","http://www.walmart.com/store/2752","Walmart","2021-03-15","USA","Open","https://www.google.com/maps/dir/Current+Location/5990+Dahlia+St,+Commerce+City,+CO,+80022,+USA/","WMT:NYSE"
"1659","Brighton Supercenter","39.969622","-104.82389","60 W Bromley Ln, Brighton, CO, 80601","60 W Bromley Ln","Brighton","CO","80601","Adams","303-659-1560","sunday :- 07:00 - 23:00 | monday :- 07:00 - 23:00 | tuesday :- 07:00 - 23:00 | wednesday :- 07:00 - 23:00 | thursday :- 07:00 - 23:00 | friday :- 07:00 - 23:00 | saturday :- 07:00 - 23:00","http://www.walmart.com/store/1659","Walmart","2021-03-15","USA","Open","https://www.google.com/maps/dir/Current+Location/60+W+Bromley+Ln,+Brighton,+CO,+80601,+USA/","WMT:NYSE"
"4747","Northglenn Neighborhood Market","39.8916783","-104.9791069","10755 Washington Street, Denver, CO, 80233","10755 Washington Street","Denver","CO","80233","Adams","303-200-1490","sunday :- 07:00 - 23:00 | monday :- 07:00 - 23:00 | tuesday :- 07:00 - 23:00 | wednesday :- 07:00 - 23:00 | thursday :- 07:00 - 23:00 | friday :- 07:00 - 23:00 | saturday :- 07:00 - 23:00","http://www.walmart.com/store/4747","Walmart","2021-03-15","USA","Open","https://www.google.com/maps/dir/Current+Location/10755+Washington+Street,+Denver,+CO,+80233,+USA/","WMT:NYSE"
"1454","Quincy Supercenter","39.938168","-91.332345","5211 Broadway St, Quincy, IL, 62305","5211 Broadway St","Quincy","IL","62305","Adams","217-223-9930","sunday :- 07:00 - 23:00 | monday :- 07:00 - 23:00 | tuesday :- 07:00 - 23:00 | wednesday :- 07:00 - 23:00 | thursday :- 07:00 - 23:00 | friday :- 07:00 - 23:00 | saturday :- 07:00 - 23:00","http://www.walmart.com/store/1454","Walmart","2021-03-15","USA","Open","https://www.google.com/maps/dir/Current+Location/5211+Broadway+St,+Quincy,+IL,+62305,+USA/","WMT:NYSE"
"1647","Decatur Supercenter","40.808859","-84.940946","1700 S 13th St, Decatur, IN, 46733","1700 S 13th St","Decatur","IN","46733","Adams","260-724-9990","sunday :- 07:00 - 23:00 | monday :- 07:00 - 23:00 | tuesday :- 07:00 - 23:00 | wednesday :- 07:00 - 23:00 | thursday :- 07:00 - 23:00 | friday :- 07:00 - 23:00 | saturday :- 07:00 - 23:00","http://www.walmart.com/store/1647","Walmart","2021-03-15","USA","Open","https://www.google.com/maps/dir/Current+Location/1700+S+13th+St,+Decatur,+IN,+46733,+USA/","WMT:NYSE"
"874","Natchez Supercenter","31.553404","-91.371779","314 Sgt S Prentiss, Natchez, MS, 39120","314 Sgt S Prentiss","Natchez","MS","39120","Adams","601-442-2895","sunday :- 07:00 - 23:00 | monday :- 07:00 - 23:00 | tuesday :- 07:00 - 23:00 | wednesday :- 07:00 - 23:00 | thursday :- 07:00 - 23:00 | friday :- 07:00 - 23:00 | saturday :- 07:00 - 23:00","http://www.walmart.com/store/874","Walmart","2021-03-15","USA","Open","https://www.google.com/maps/dir/Current+Location/314+Sgt+S+Prentiss,+Natchez,+MS,+39120,+USA/","WMT:NYSE"
"1460","Hastings Supercenter","40.624235","-98.385789","3803 Osborne Dr W, Hastings, NE, 68901","3803 Osborne Dr W","Hastings","NE","68901","Adams","402-462-6000","sunday :- 07:00 - 23:00 | monday :- 07:00 - 23:00 | tuesday :- 07:00 - 23:00 | wednesday :- 07:00 - 23:00 | thursday :- 07:00 - 23:00 | friday :- 07:00 - 23:00 | saturday :- 07:00 - 23:00","http://www.walmart.com/store/1460","Walmart","2021-03-15","USA","Open","https://www.google.com/maps/dir/Current+Location/3803+Osborne+Dr+W,+Hastings,+NE,+68901,+USA/","WMT:NYSE"
"1368","West Union Supercenter","38.784658","-83.564806","11217 State Route 41, West Union, OH, 45693","11217 State Route 41","West Union","OH","45693","Adams","937-544-7198","sunday :- 07:00 - 23:00 | monday :- 07:00 - 23:00 | tuesday :- 07:00 - 23:00 | wednesday :- 07:00 - 23:00 | thursday :- 07:00 - 23:00 | friday :- 07:00 - 23:00 | saturday :- 07:00 - 23:00","http://www.walmart.com/store/1368","Walmart","2021-03-15","USA","Open","https://www.google.com/maps/dir/Current+Location/11217+State+Route+41,+West+Union,+OH,+45693,+USA/","WMT:NYSE"
"1537","Gettysburg Store","39.843289","-77.204574","1270 York Rd, Gettysburg, PA, 17325","1270 York Rd","Gettysburg","PA","17325","Adams","717-334-2000","sunday :- 07:00 - 23:00 | monday :- 07:00 - 23:00 | tuesday :- 07:00 - 23:00 | wednesday :- 07:00 - 23:00 | thursday :- 07:00 - 23:00 | friday :- 07:00 - 23:00 | saturday :- 07:00 - 23:00","http://www.walmart.com/store/1537","Walmart","2021-03-15","USA","Open","https://www.google.com/maps/dir/Current+Location/1270+York+Rd,+Gettysburg,+PA,+17325,+USA/","WMT:NYSE"
"3217","Othello Supercenter","46.824185","-119.147892","1860 E Main St, Othello, WA, 99344","1860 E Main St","Othello","WA","99344","Adams","509-488-9295","sunday :- 07:00 - 23:00 | monday :- 07:00 - 23:00 | tuesday :- 07:00 - 23:00 | wednesday :- 07:00 - 23:00 | thursday :- 07:00 - 23:00 | friday :- 07:00 - 23:00 | saturday :- 07:00 - 23:00","http://www.walmart.com/store/3217","Walmart","2021-03-15","USA","Open","https://www.google.com/maps/dir/Current+Location/1860+E+Main+St,+Othello,+WA,+99344,+USA/","WMT:NYSE"
"4487","Aiken Supercenter","33.561222","-81.767261","3581 Richland Ave W, Aiken, SC, 29801","3581 Richland Ave W","Aiken","SC","29801","Aiken","803-648-5551","sunday :- 07:00 - 23:00 | monday :- 07:00 - 23:00 | tuesday :- 06:00 - 23:00 | wednesday :- 07:00 - 23:00 | thursday :- 07:00 - 23:00 | friday :- 07:00 - 23:00 | saturday :- 07:00 - 23:00","http://www.walmart.com/store/4487","Walmart","2021-03-15","USA","Open","https://www.google.com/maps/dir/Current+Location/3581+Richland+Ave+W,+Aiken,+SC,+29801,+USA/","WMT:NYSE"
"1270","North Augusta Supercenter","33.501291","-81.956733","1201 Knox Ave, North Augusta, SC, 29841","1201 Knox Ave","North Augusta","SC","29841","Aiken","803-279-0545","sunday :- 07:00 - 23:00 | monday :- 07:00 - 23:00 | tuesday :- 07:00 - 23:00 | wednesday :- 07:00 - 23:00 | thursday :- 07:00 - 23:00 | friday :- 07:00 - 23:00 | saturday :- 07:00 - 23:00","http://www.walmart.com/store/1270","Walmart","2021-03-15","USA","Open","https://www.google.com/maps/dir/Current+Location/1201+Knox+Ave,+North+Augusta,+SC,+29841,+USA/","WMT:NYSE"
"514","Aiken Supercenter","33.518173","-81.71954","2035 Whiskey Rd, Aiken, SC, 29803","2035 Whiskey Rd","Aiken","SC","29803","Aiken","803-648-9197","sunday :- 07:00 - 23:00 | monday :- 07:00 - 23:00 | tuesday :- 07:00 - 23:00 | wednesday :- 07:00 - 23:00 | thursday :- 07:00 - 23:00 | friday :- 07:00 - 23:00 | saturday :- 07:00 - 23:00","http://www.walmart.com/store/514","Walmart","2021-03-15","USA","Open","https://www.google.com/maps/dir/Current+Location/2035+Whiskey+Rd,+Aiken,+SC,+29803,+USA/","WMT:NYSE"
"3877","Gainesville Supercenter","29.663923","-82.301116","1800 Ne 12th Ave, Gainesville, FL, 32641","1800 Ne 12th Ave","Gainesville","FL","32641","Alachua","352-372-3191","sunday :- 07:00 - 23:00 | monday :- 07:00 - 23:00 | tuesday :- 07:00 - 23:00 | wednesday :- 07:00 - 23:00 | thursday :- 07:00 - 23:00 | friday :- 07:00 - 23:00 | saturday :- 07:00 - 23:00","http://www.walmart.com/store/3877","Walmart","2021-03-15","USA","Open","https://www.google.com/maps/dir/Current+Location/1800+Ne+12th+Ave,+Gainesville,+FL,+32641,+USA/","WMT:NYSE"
"538","Gainesville Supercenter","29.708414","-82.35647","5700 Nw 23rd St, Gainesville, FL, 32653","5700 Nw 23rd St","Gainesville","FL","32653","Alachua","352-378-0619","sunday :- 07:00 - 23:00 | monday :- 07:00 - 23:00 | tuesday :- 07:00 - 23:00 | wednesday :- 07:00 - 23:00 | thursday :- 07:00 - 23:00 | friday :- 07:00 - 23:00 | saturday :- 07:00 - 23:00","http://www.walmart.com/store/538","Walmart","2021-03-15","USA","Open","https://www.google.com/maps/dir/Current+Location/5700+Nw+23rd+St,+Gainesville,+FL,+32653,+USA/","WMT:NYSE"
"1081","Gainesville Supercenter","29.627561","-82.388649","2900 Sw 42nd St, Gainesville, FL, 32608","2900 Sw 42nd St","Gainesville","FL","32608","Alachua","352-371-3171","sunday :- 07:00 - 23:00 | monday :- 07:00 - 23:00 | tuesday :- 07:00 - 23:00 | wednesday :- 07:00 - 23:00 | thursday :- 07:00 - 23:00 | friday :- 07:00 - 23:00 | saturday :- 07:00 - 23:00","http://www.walmart.com/store/1081","Walmart","2021-03-15","USA","Open","https://www.google.com/maps/dir/Current+Location/2900+Sw+42nd+St,+Gainesville,+FL,+32608,+USA/","WMT:NYSE"
"3612","Burlington Supercenter","36.091156","-79.403377","530 S Graham Hopedale Rd, Burlington, NC, 27217","530 S Graham Hopedale Rd","Burlington","NC","27217","Alamance","336-226-1819","sunday :- 07:00 - 23:00 | monday :- 07:00 - 23:00 | tuesday :- 07:00 - 23:00 | wednesday :- 07:00 - 23:00 | thursday :- 07:00 - 23:00 | friday :- 07:00 - 23:00 | saturday :- 07:00 - 23:00","http://www.walmart.com/store/3612","Walmart","2021-03-15","USA","Open","https://www.google.com/maps/dir/Current+Location/530+S+Graham+Hopedale+Rd,+Burlington,+NC,+27217,+USA/","WMT:NYSE"
"1287","Burlington Supercenter","36.07209","-79.499","3141 Garden Rd, Burlington, NC, 27215","3141 Garden Rd","Burlington","NC","27215","Alamance","336-584-6400","sunday :- 07:00 - 23:00 | monday :- 07:00 - 23:00 | tuesday :- 07:00 - 23:00 | wednesday :- 07:00 - 23:00 | thursday :- 07:00 - 23:00 | friday :- 07:00 - 23:00 | saturday :- 07:00 - 23:00","http://www.walmart.com/store/1287","Walmart","2021-03-15","USA","Open","https://www.google.com/maps/dir/Current+Location/3141+Garden+Rd,+Burlington,+NC,+27215,+USA/","WMT:NYSE"
"5346","Mebane Supercenter","36.066879","-79.273316","1318 Mebane Oaks Rd, Mebane, NC, 27302","1318 Mebane Oaks Rd","Mebane","NC","27302","Alamance","919-304-0171","sunday :- 07:00 - 23:00 | monday :- 07:00 - 23:00 | tuesday :- 07:00 - 23:00 | wednesday :- 07:00 - 23:00 | thursday :- 07:00 - 23:00 | friday :- 07:00 - 23:00 | saturday :- 07:00 - 23:00","http://www.walmart.com/store/5346","Walmart","2021-03-15","USA","Open","https://www.google.com/maps/dir/Current+Location/1318+Mebane+Oaks+Rd,+Mebane,+NC,+27302,+USA/","WMT:NYSE"
"2648","San Leandro Store","37.714599","-122.177691","1919 Davis St, San Leandro, CA, 94577","1919 Davis St","San Leandro","CA","94577","Alameda","510-569-0200","sunday :- 07:00 - 23:00 | monday :- 07:00 - 23:00 | tuesday :- 07:00 - 23:00 | wednesday :- 07:00 - 23:00 | thursday :- 07:00 - 23:00 | friday :- 07:00 - 23:00 | saturday :- 07:00 - 23:00","http://www.walmart.com/store/2648","Walmart","2021-03-15","USA","Open","https://www.google.com/maps/dir/Current+Location/1919+Davis+St,+San+Leandro,+CA,+94577,+USA/","WMT:NYSE"
"5611","Pleasanton Neighborhood Market","37.689975","-121.876915","3112 Santa Rita Rd, Pleasanton, CA, 94566","3112 Santa Rita Rd","Pleasanton","CA","94566","Alameda","925-398-6369","sunday :- 07:00 - 23:00 | monday :- 07:00 - 23:00 | tuesday :- 07:00 - 23:00 | wednesday :- 07:00 - 23:00 | thursday :- 07:00 - 23:00 | friday :- 07:00 - 23:00 | saturday :- 07:00 - 23:00","http://www.walmart.com/store/5611","Walmart","2021-03-15","USA","Open","https://www.google.com/maps/dir/Current+Location/3112+Santa+Rita+Rd,+Pleasanton,+CA,+94566,+USA/","WMT:NYSE"
"2031","Union City Store","37.604711","-122.067306","30600 Dyer St, Union City, CA, 94587","30600 Dyer St","Union City","CA","94587","Alameda","510-475-5915","sunday :- 07:00 - 23:00 | monday :- 07:00 - 23:00 | tuesday :- 07:00 - 23:00 | wednesday :- 07:00 - 23:00 | thursday :- 07:00 - 23:00 | friday :- 07:00 - 23:00 | saturday :- 07:00 - 23:00","http://www.walmart.com/store/2031","Walmart","2021-03-15","USA","Open","https://www.google.com/maps/dir/Current+Location/30600+Dyer+St,+Union+City,+CA,+94587,+USA/","WMT:NYSE"
"5426","Fremont Store","37.520242","-121.985626","40580 Albrae St, Fremont, CA, 94538","40580 Albrae St","Fremont","CA","94538","Alameda","510-440-8060","sunday :- 07:00 - 23:00 | monday :- 07:00 - 23:00 | tuesday :- 07:00 - 23:00 | wednesday :- 07:00 - 23:00 | thursday :- 07:00 - 23:00 | friday :- 07:00 - 23:00 | saturday :- 07:00 - 23:00","http://www.walmart.com/store/5426","Walmart","2021-03-15","USA","Open","https://www.google.com/maps/dir/Current+Location/40580+Albrae+St,+Fremont,+CA,+94538,+USA/","WMT:NYSE"
"2989","Fremont Store","37.511302","-121.943195","44009 Osgood Rd, Fremont, CA, 94539","44009 Osgood Rd","Fremont","CA","94539","Alameda","510-651-3301","sunday :- 07:00 - 23:00 | monday :- 07:00 - 23:00 | tuesday :- 06:00 - 23:00 | wednesday :- 07:00 - 23:00 | thursday :- 07:00 - 23:00 | friday :- 07:00 - 23:00 | saturday :- 07:00 - 23:00","http://www.walmart.com/store/2989","Walmart","2021-03-15","USA","Open","https://www.google.com/maps/dir/Current+Location/44009+Osgood+Rd,+Fremont,+CA,+94539,+USA/","WMT:NYSE"
"1972","Livermore Store","37.699249","-121.767991","2700 Las Positas Rd, Livermore, CA, 94551","2700 Las Positas Rd","Livermore","CA","94551","Alameda","925-455-0215","sunday :- 07:00 - 23:00 | monday :- 07:00 - 23:00 | tuesday :- 07:00 - 23:00 | wednesday :- 07:00 - 23:00 | thursday :- 07:00 - 23:00 | friday :- 07:00 - 23:00 | saturday :- 07:00 - 23:00","http://www.walmart.com/store/1972","Walmart","2021-03-15","USA","Open","https://www.google.com/maps/dir/Current+Location/2700+Las+Positas+Rd,+Livermore,+CA,+94551,+USA/","WMT:NYSE"
"5434","San Leandro Store","37.688248","-122.131586","15555 Hesperian Blvd, San Leandro, CA, 94579","15555 Hesperian Blvd","San Leandro","CA","94579","Alameda","510-351-0108","sunday :- 07:00 - 23:00 | monday :- 07:00 - 23:00 | tuesday :- 07:00 - 23:00 | wednesday :- 07:00 - 23:00 | thursday :- 07:00 - 23:00 | friday :- 07:00 - 23:00 | saturday :- 07:00 - 23:00","http://www.walmart.com/store/5434","Walmart","2021-03-15","USA","Open","https://www.google.com/maps/dir/Current+Location/15555+Hesperian+Blvd,+San+Leandro,+CA,+94579,+USA/","WMT:NYSE"
"2161","Pleasanton Store","37.698323","-121.887338","4501 Rosewood Dr, Pleasanton, CA, 94588","4501 Rosewood Dr","Pleasanton","CA","94588","Alameda","925-734-8744","sunday :- 08:00 - 23:00 | monday :- 07:00 - 23:00 | tuesday :- 07:00 - 23:00 | wednesday :- 07:00 - 23:00 | thursday :- 07:00 - 23:00 | friday :- 07:00 - 23:00 | saturday :- 07:00 - 23:00","http://www.walmart.com/store/2161","Walmart","2021-03-15","USA","Open","https://www.google.com/maps/dir/Current+Location/4501+Rosewood+Dr,+Pleasanton,+CA,+94588,+USA/","WMT:NYSE"
"869","Alamosa Supercenter","37.482281","-105.904108","3333 Clark St, Alamosa, CO, 81101","3333 Clark St","Alamosa","CO","81101","Alamosa","719-589-9071","sunday :- 07:00 - 23:00 | monday :- 07:00 - 23:00 | tuesday :- 07:00 - 23:00 | wednesday :- 07:00 - 23:00 | thursday :- 07:00 - 23:00 | friday :- 07:00 - 23:00 | saturday :- 07:00 - 23:00","http://www.walmart.com/store/869","Walmart","2021-03-15","USA","Open","https://www.google.com/maps/dir/Current+Location/3333+Clark+St,+Alamosa,+CO,+81101,+USA/","WMT:NYSE"
"1997","Latham Supercenter","42.746495","-73.764381","800 Loudon Road, Latham, NY, 12110","800 Loudon Road","Latham","NY","12110","Albany","518-783-4086","sunday :- 07:00 - 23:00 | monday :- 07:00 - 23:00 | tuesday :- 07:00 - 23:00 | wednesday :- 07:00 - 23:00 | thursday :- 07:00 - 23:00 | friday :- 07:00 - 23:00 | saturday :- 07:00 - 23:00","http://www.walmart.com/store/1997","Walmart","2021-03-15","USA","Open","https://www.google.com/maps/dir/Current+Location/800+Loudon+Road,+Latham,+NY,+12110,+USA/","WMT:NYSE"
"2152","Albany Supercenter","42.694877","-73.847121","141 Washington Ave Extension, Albany, NY, 12205","141 Washington Ave Extension","Albany","NY","12205","Albany","518-869-4694","sunday :- 07:00 - 23:00 | monday :- 07:00 - 23:00 | tuesday :- 07:00 - 23:00 | wednesday :- 07:00 - 23:00 | thursday :- 07:00 - 23:00 | friday :- 07:00 - 23:00 | saturday :- 07:00 - 23:00","http://www.walmart.com/store/2152","Walmart","2021-03-15","USA","Open","https://www.google.com/maps/dir/Current+Location/141+Washington+Ave+Extension,+Albany,+NY,+12205,+USA/","WMT:NYSE"
